Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FGP;ThreeP;ThreePA;ThreePP;TwoP;TwoPA;TwoPP;eFGP;FT;FTA;FTP;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;NOM;APE;IMG;IMGT;;
435;Jay Scrubb;SG;22;ORL;2;0;15;2.5;3.5;.714;1;1;1.000;1.5;2.5;.600;.857;0.5;1;.500;0;3;3;0.5;1;0;1.5;1;6.5;ja;scrub;https://www.basketball-reference.com/req/202106291/images/headshots/scrubja01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/ORL-2023.png;;
94;Nic Claxton;C;23;BRK;76;76;29.9;5.4;7.7;.705;0;0;.000;5.4;7.7;.708;.705;1.8;3.2;.541;2.4;6.8;9.2;1.9;0.9;2.5;1.3;2.8;12.6;ni;claxt;https://www.basketball-reference.com/req/202106291/images/headshots/claxtni01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/BRK-2023.png;;
306;Boban Marjanović;C;34;HOU;31;0;5.5;1.3;1.9;.683;0;0;.000;1.3;1.9;.695;.683;0.6;0.9;.741;0.6;1.3;1.9;0.3;0.2;0.1;0.5;0.3;3.3;bo;marja;https://www.basketball-reference.com/req/202106291/images/headshots/marjabo01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/HOU-2023.png;;
385;Mason Plumlee;C;32;TOT;79;60;26;4.2;6.1;.680;0;0;;4.2;6.1;.680;.680;2.5;4;.636;2.9;6;8.9;3.1;0.6;0.6;1.5;2.7;10.8;ma;pluml;https://www.basketball-reference.com/req/202106291/images/headshots/plumlma01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/TOT-2023.png;;
416;Mitchell Robinson;C;24;NYK;59;58;27;3.2;4.7;.671;0;0;;3.2;4.7;.671;.671;1;2.1;.484;4.5;4.9;9.4;0.9;0.9;1.8;0.7;2.7;7.4;mi;robin;https://www.basketball-reference.com/req/202106291/images/headshots/robinmi01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/NYK-2023.png;;
385;Mason Plumlee;C;32;CHO;56;56;28.5;4.7;7.1;.669;0;0;;4.7;7.1;.669;.669;2.8;4.6;.605;3.3;6.3;9.7;3.7;0.6;0.6;1.6;2.9;12.2;ma;pluml;https://www.basketball-reference.com/req/202106291/images/headshots/plumlma01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/CHO-2023.png;;
528;Dylan Windler;SF;26;CLE;3;0;3.3;0.7;1;.667;0.3;0.7;.500;0.3;0.3;1.000;.833;0;0;;0;0;0;0.3;0.3;0;0.3;0;1.7;dy;windl;https://www.basketball-reference.com/req/202106291/images/headshots/windldy01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/CLE-2023.png;;
394;Micah Potter;PF;24;UTA;7;0;7.4;1.4;2.1;.667;0.6;1;.571;0.9;1.1;.750;.800;0;0;;0.4;1.9;2.3;0.6;0.1;0;0.3;0.7;3.4;mi;potte;https://www.basketball-reference.com/req/202106291/images/headshots/pottemi01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/UTA-2023.png;;
402;Neemias Queta;C;23;SAC;5;0;5.8;1.2;1.8;.667;0;0;;1.2;1.8;.667;.667;0;0.4;.000;1;1.2;2.2;0.2;0;0.4;0.2;1.4;2.4;ne;queta;https://www.basketball-reference.com/req/202106291/images/headshots/quetane01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/SAC-2023.png;;
275;Luke Kornet;C;27;BOS;69;0;11.7;1.6;2.5;.665;0;0.2;.231;1.6;2.3;.701;.674;0.5;0.6;.821;1.2;1.6;2.9;0.8;0.2;0.7;0.4;1.2;3.8;lu;korne;https://www.basketball-reference.com/req/202106291/images/headshots/kornelu01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/BOS-2023.png;;
